"address","city","zipcode","latitude","longitude"
"522 S Maple Rd","Ann Arbor",48103,42.276165,-83.780961
"500 Berkley Ave","Ann Arbor",48103,42.265979,-83.752894
"502 W Huron St","Ann Arbor",48103,42.281914,-83.754127
"1785 W Stadium Blvd Ste 203C","Ann Arbor",48103,42.26634,-83.770244
"501 N. Maple Rd.","Ann Arbor",48103,42.286293,-83.781102
"544 N Division St","Ann Arbor",48104,42.286249,-83.743291
"3300 Washtenaw Ave","Ann Arbor",48104,42.255613,-83.695422
"2311 E Stadium Blvd Ste 212 Rm 6","Ann Arbor",48104,42.26066,-83.715146
"3115 Professional Dr","Ann Arbor",48104,42.255551,-83.698232
"2002 Hogback Rd","Ann Arbor",48105,42.258324,-83.682225
"1327 Jones Dr.","Ann Arbor",48105,42.292652,-83.734673
"1710 Dhu Varren","Ann Arbor",48105,42.315971,-83.729019
"5401 McAuley Dr","Ann Arbor",48106,42.264575,-83.647846
"4925 Packard St","Ann Arbor",48108,42.245105,-83.662796
"3879 Packard St Unit B","Ann Arbor",48108,42.245617,-83.684391
"2900 Golfside Dr","Ann Arbor",48108,42.246388,-83.661026
"2650 Carpenter Rd","Ann Arbor",48108,42.249706,-83.681359
"4673 Washtenaw Ave","Ann Arbor",48108,42.252735,-83.673369
"4250 Plymouth Rd.","Ann Arbor",48109,42.311089,-83.671497
"25 Owen St.","Belleville",48111,42.197605,-83.484494
"122 South St","Belleville",48111,42.203316,-83.485414
"2512 Harte Dr","Brighton",48114,42.565339,-83.80681
"2300 Genoa Business Park Dr","Brighton",48114,42.569018,-83.806305
"12851 Grand River Rd","Brighton",48116,42.51773,-83.696767
"738 W. Grand Blvd., Suite B","Brighton",48116,42.610093,-83.938949
"12851 E Grand River","Brighton",48116,42.51773,-83.696767
"5841 Whitmore Lake Rd.","Brighton",48116,42.518098,-83.758474
"10299 Grand River Rd Ste P","Brighton",48116,42.520017,-83.751675
"130 Medical Center Dr","Carleton",48117,42.056408,-83.379206
"350 N Main St Ste 150","Chelsea",48118,42.320436,-84.020057
"6451 Schaefer Rd","Dearborn",48126,42.337652,-83.176709
"6450 Maple St","Dearborn",48126,42.338725,-83.178898
"6 Parklane Blvd","Dearborn",48126,42.322298,-83.207246
"13840 W Warren Ave","Dearborn",48126,42.344071,-83.179678
"5500 Auto Club Dr","Dearborn",48126,42.32783,-83.222309
"5275 Kenilworth St","Dearborn",48126,42.325971,-83.183861
"25639 Ford Rd","Dearborn Heights",48127,42.326476,-83.289898
"22234 Ford Rd.","Dearborn Heights",48127,42.32735,-83.255673
"23302 W Warren Ave","Dearborn Heights",48127,42.341729,-83.268014
"1250 Middlebelt Rd","Inkster",48141,42.30184,-83.330154
"2700 Hamlin Blvd","Inkster",48141,42.291382,-83.311635
"26180 W Outer Dr","Lincoln Park",48146,42.258926,-83.16581
"26184 W Outer Dr","Lincoln Park",48146,42.258896,-83.16578
"1607 Fort St","Lincoln Park",48146,42.27662,-83.154538
"25650 W Outer Dr","Lincoln Park",48146,42.265326,-83.174015
"33505 Schoolcraft Rd","Livonia",48150,42.381903,-83.373394
"38099 Schoolcraft Rd","Livonia",48150,42.381129,-83.419801
"28980 Joy Rd","Livonia",48150,42.354971,-83.32812
"37450 Schoolcraft Rd","Livonia",48150,42.382213,-83.412806
"31500 Schoolcraft Rd","Livonia",48150,42.383361,-83.354641
"32231 Schoolcraft Rd Ste 210","Livonia",48150,42.382268,-83.360826
"17199 N Laurel Park Dr","Livonia",48152,42.412041,-83.418415
"17250 Farmington Rd","Livonia",48152,42.412949,-83.374155
"17177 N Laurel Park Dr","Livonia",48152,42.411828,-83.417991
"18316 Middlebelt Rd","Livonia",48152,42.420593,-83.335417
"33000 Civic Center Dr","Livonia",48154,42.396006,-83.370277
"29550 5 Mile Rd","Livonia",48154,42.398535,-83.336649
"33300 5 Mile Rd","Livonia",48154,42.398024,-83.372155
"37799 Professional Center Dr Ste 106","Livonia",48154,42.409855,-83.417221
"36475 5 Mile Rd","Livonia",48154,42.394737,-83.405689
"29240 Buckingham St Ste 11","Livonia",48154,42.38548,-83.327834
"1001 S Raisinville Rd","Monroe",48161,41.925477,-83.466035
"14930 Laplaisance Rd Ste 127","Monroe",48161,41.885229,-83.398567
"3580 S Custer Rd","Monroe",48161,41.931553,-83.458106
"120 Eastchester","Monroe",48161,41.908541,-83.384912
"100 E 2nd St","Monroe",48161,41.91375,-83.397551
"7000 E Dunbar Rd","Monroe",48161,41.895571,-83.393282
"234 Colonial Dr","Monroe",48162,41.92705,-83.387252
"901 N Macomb St","Monroe",48162,41.927379,-83.389473
"730 N Macomb St","Monroe",48162,41.925502,-83.388738
"3250 N Monroe St","Monroe",48162,41.959794,-83.376448
"114 E Elm Ave","Monroe",48162,41.917168,-83.393791
"3250 N Monroe St","Monroe",48162,41.959794,-83.376448
"216 N Monroe St","Monroe",48162,41.920208,-83.395023
"640 Griswold St","Northville",48167,42.435168,-83.475326
"4736 E M36","Pinckney",48169,42.510713,-84.173195
